name,size,bucket,contentType,timeCreated,updated,storageClass,DownloadTime,BucketDeleted
QueriesIndex-2020-06-08_10-03-54.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-08T16:03:55Z,2020-06-08T16:03:55Z,STANDARD,2020-06-15 11:25:38,TRUE
QueriesIndex-2020-06-08_12-03-53.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-08T18:03:53Z,2020-06-08T18:03:53Z,STANDARD,2020-06-15 11:25:42,TRUE
QueriesIndex-2020-06-08_15-03-54.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-08T21:03:54Z,2020-06-08T21:03:54Z,STANDARD,2020-06-15 11:25:45,TRUE
QueriesIndex-2020-06-08_16-03-52.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-08T22:03:52Z,2020-06-08T22:03:52Z,STANDARD,2020-06-15 11:25:48,TRUE
QueriesIndex-2020-06-08_17-03-56.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-08T23:03:57Z,2020-06-08T23:03:57Z,STANDARD,2020-06-15 11:25:51,TRUE
QueriesIndex-2020-06-08_18-04-05.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-09T00:04:05Z,2020-06-09T00:04:05Z,STANDARD,2020-06-15 11:25:54,TRUE
QueriesIndex-2020-06-08_19-03-35.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-09T01:03:36Z,2020-06-09T01:03:36Z,STANDARD,2020-06-15 11:25:57,TRUE
QueriesIndex-2020-06-08_20-04-08.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-09T02:04:08Z,2020-06-09T02:04:08Z,STANDARD,2020-06-15 11:26:01,TRUE
QueriesIndex-2020-06-09_08-04-00.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-09T14:04:00Z,2020-06-09T14:04:00Z,STANDARD,2020-06-15 11:26:03,TRUE
QueriesIndex-2020-06-09_09-03-57.csv,11.2 Kb,quarantine-monitor-cloud,text/csv,2020-06-09T15:03:57Z,2020-06-09T15:03:57Z,STANDARD,2020-06-15 11:26:05,TRUE
