QueryKey;CityCode;Directions;Cityname;NowTime;Status;Num_routes;directions
3550308 SÃO PAULO 2020-06-12 20:00:04 EW;3550308;EW;SÃO PAULO;2020-06-12T20:00:04Z;OK;1;EastWest
3550308 SÃO PAULO 2020-06-12 20:00:06 NS;3550308;NS;SÃO PAULO;2020-06-12T20:00:06Z;OK;1;NorthSouth
3304557 RIO DE JANEIRO 2020-06-12 20:00:08 EW;3304557;EW;RIO DE JANEIRO;2020-06-12T20:00:08Z;OK;1;EastWest
3304557 RIO DE JANEIRO 2020-06-12 20:00:11 NS;3304557;NS;RIO DE JANEIRO;2020-06-12T20:00:11Z;OK;1;NorthSouth
5300108 BRASÍLIA 2020-06-12 20:00:13 EW;5300108;EW;BRASÍLIA;2020-06-12T20:00:13Z;OK;1;EastWest
5300108 BRASÍLIA 2020-06-12 20:00:16 NS;5300108;NS;BRASÍLIA;2020-06-12T20:00:16Z;OK;1;NorthSouth
2927408 SALVADOR 2020-06-12 20:00:19 EW;2927408;EW;SALVADOR;2020-06-12T20:00:19Z;OK;1;EastWest
2927408 SALVADOR 2020-06-12 20:00:21 NS;2927408;NS;SALVADOR;2020-06-12T20:00:21Z;OK;1;NorthSouth
2304400 FORTALEZA 2020-06-12 20:00:23 EW;2304400;EW;FORTALEZA;2020-06-12T20:00:23Z;OK;1;EastWest
2304400 FORTALEZA 2020-06-12 20:00:25 NS;2304400;NS;FORTALEZA;2020-06-12T20:00:25Z;OK;1;NorthSouth
3106200 BELO HORIZONTE 2020-06-12 20:00:29 EW;3106200;EW;BELO HORIZONTE;2020-06-12T20:00:29Z;OK;1;EastWest
3106200 BELO HORIZONTE 2020-06-12 20:00:31 NS;3106200;NS;BELO HORIZONTE;2020-06-12T20:00:31Z;OK;1;NorthSouth
1302603 MANAUS 2020-06-12 20:00:32 EW;1302603;EW;MANAUS;2020-06-12T20:00:32Z;OK;1;EastWest
1302603 MANAUS 2020-06-12 20:00:35 NS;1302603;NS;MANAUS;2020-06-12T20:00:35Z;OK;1;NorthSouth
4106902 CURITIBA 2020-06-12 20:00:36 EW;4106902;EW;CURITIBA;2020-06-12T20:00:36Z;OK;1;EastWest
4106902 CURITIBA 2020-06-12 20:00:38 NS;4106902;NS;CURITIBA;2020-06-12T20:00:38Z;OK;1;NorthSouth
2611606 RECIFE 2020-06-12 20:00:42 EW;2611606;EW;RECIFE;2020-06-12T20:00:42Z;OK;1;EastWest
2611606 RECIFE 2020-06-12 20:00:45 NS;2611606;NS;RECIFE;2020-06-12T20:00:45Z;OK;1;NorthSouth
5208707 GOIÂNIA 2020-06-12 20:00:48 EW;5208707;EW;GOIÂNIA;2020-06-12T20:00:48Z;OK;1;EastWest
5208707 GOIÂNIA 2020-06-12 20:00:51 NS;5208707;NS;GOIÂNIA;2020-06-12T20:00:51Z;OK;1;NorthSouth
1501402 BELÉM 2020-06-12 20:00:54 EW;1501402;EW;BELÉM;2020-06-12T20:00:54Z;OK;1;EastWest
1501402 BELÉM 2020-06-12 20:00:55 NS;1501402;NS;BELÉM;2020-06-12T20:00:55Z;OK;1;NorthSouth
4314902 PORTO ALEGRE 2020-06-12 20:00:59 EW;4314902;EW;PORTO ALEGRE;2020-06-12T20:00:59Z;OK;1;EastWest
4314902 PORTO ALEGRE 2020-06-12 20:01:00 NS;4314902;NS;PORTO ALEGRE;2020-06-12T20:01:00Z;OK;1;NorthSouth
3518800 GUARULHOS 2020-06-12 20:01:02 EW;3518800;EW;GUARULHOS;2020-06-12T20:01:02Z;OK;1;EastWest
3518800 GUARULHOS 2020-06-12 20:01:04 NS;3518800;NS;GUARULHOS;2020-06-12T20:01:04Z;OK;1;NorthSouth
3509502 CAMPINAS 2020-06-12 20:01:08 EW;3509502;EW;CAMPINAS;2020-06-12T20:01:08Z;OK;1;EastWest
3509502 CAMPINAS 2020-06-12 20:01:09 NS;3509502;NS;CAMPINAS;2020-06-12T20:01:09Z;OK;1;NorthSouth
2111300 SÃO LUÍS 2020-06-12 20:01:11 EW;2111300;EW;SÃO LUÍS;2020-06-12T20:01:11Z;OK;1;EastWest
2111300 SÃO LUÍS 2020-06-12 20:01:14 NS;2111300;NS;SÃO LUÍS;2020-06-12T20:01:14Z;OK;1;NorthSouth
3304904 SÃO GONÇALO 2020-06-12 20:01:17 EW;3304904;EW;SÃO GONÇALO;2020-06-12T20:01:17Z;OK;1;EastWest
3304904 SÃO GONÇALO 2020-06-12 20:01:19 NS;3304904;NS;SÃO GONÇALO;2020-06-12T20:01:19Z;OK;1;NorthSouth
2704302 MACEIÓ 2020-06-12 20:01:22 EW;2704302;EW;MACEIÓ;2020-06-12T20:01:22Z;OK;1;EastWest
2704302 MACEIÓ 2020-06-12 20:01:24 NS;2704302;NS;MACEIÓ;2020-06-12T20:01:24Z;OK;1;NorthSouth
3301702 DUQUE DE CAXIAS 2020-06-12 20:01:25 EW;3301702;EW;DUQUE DE CAXIAS;2020-06-12T20:01:25Z;OK;1;EastWest
3301702 DUQUE DE CAXIAS 2020-06-12 20:01:27 NS;3301702;NS;DUQUE DE CAXIAS;2020-06-12T20:01:27Z;OK;1;NorthSouth
5002704 CAMPO GRANDE 2020-06-12 20:01:31 EW;5002704;EW;CAMPO GRANDE;2020-06-12T20:01:31Z;OK;1;EastWest
5002704 CAMPO GRANDE 2020-06-12 20:01:34 NS;5002704;NS;CAMPO GRANDE;2020-06-12T20:01:34Z;OK;1;NorthSouth
2408102 NATAL 2020-06-12 20:01:35 EW;2408102;EW;NATAL;2020-06-12T20:01:35Z;OK;1;EastWest
2408102 NATAL 2020-06-12 20:01:37 NS;2408102;NS;NATAL;2020-06-12T20:01:37Z;OK;1;NorthSouth
2211001 TERESINA 2020-06-12 20:01:38 EW;2211001;EW;TERESINA;2020-06-12T20:01:38Z;OK;1;EastWest
