QueryKey;CityCode;Directions;Cityname;NowTime;Status;Num_routes;directions
3550308 SÃO PAULO 2020-06-08 19:00:04 EW;3550308;EW;SÃO PAULO;2020-06-08T19:00:04Z;OK;1;EastWest
3550308 SÃO PAULO 2020-06-08 19:00:08 NS;3550308;NS;SÃO PAULO;2020-06-08T19:00:08Z;OK;1;NorthSouth
3304557 RIO DE JANEIRO 2020-06-08 19:00:10 EW;3304557;EW;RIO DE JANEIRO;2020-06-08T19:00:10Z;OK;1;EastWest
3304557 RIO DE JANEIRO 2020-06-08 19:00:12 NS;3304557;NS;RIO DE JANEIRO;2020-06-08T19:00:12Z;OK;1;NorthSouth
5300108 BRASÍLIA 2020-06-08 19:00:13 EW;5300108;EW;BRASÍLIA;2020-06-08T19:00:13Z;OK;1;EastWest
5300108 BRASÍLIA 2020-06-08 19:00:15 NS;5300108;NS;BRASÍLIA;2020-06-08T19:00:15Z;OK;1;NorthSouth
2927408 SALVADOR 2020-06-08 19:00:18 EW;2927408;EW;SALVADOR;2020-06-08T19:00:18Z;OK;1;EastWest
2927408 SALVADOR 2020-06-08 19:00:21 NS;2927408;NS;SALVADOR;2020-06-08T19:00:21Z;OK;1;NorthSouth
2304400 FORTALEZA 2020-06-08 19:00:25 EW;2304400;EW;FORTALEZA;2020-06-08T19:00:25Z;OK;1;EastWest
2304400 FORTALEZA 2020-06-08 19:00:27 NS;2304400;NS;FORTALEZA;2020-06-08T19:00:27Z;OK;1;NorthSouth
3106200 BELO HORIZONTE 2020-06-08 19:00:30 EW;3106200;EW;BELO HORIZONTE;2020-06-08T19:00:30Z;OK;1;EastWest
3106200 BELO HORIZONTE 2020-06-08 19:00:31 NS;3106200;NS;BELO HORIZONTE;2020-06-08T19:00:31Z;OK;1;NorthSouth
1302603 MANAUS 2020-06-08 19:00:34 EW;1302603;EW;MANAUS;2020-06-08T19:00:34Z;OK;1;EastWest
1302603 MANAUS 2020-06-08 19:00:36 NS;1302603;NS;MANAUS;2020-06-08T19:00:36Z;OK;1;NorthSouth
4106902 CURITIBA 2020-06-08 19:00:37 EW;4106902;EW;CURITIBA;2020-06-08T19:00:37Z;OK;1;EastWest
4106902 CURITIBA 2020-06-08 19:00:39 NS;4106902;NS;CURITIBA;2020-06-08T19:00:39Z;OK;1;NorthSouth
2611606 RECIFE 2020-06-08 19:00:41 EW;2611606;EW;RECIFE;2020-06-08T19:00:41Z;OK;1;EastWest
2611606 RECIFE 2020-06-08 19:00:42 NS;2611606;NS;RECIFE;2020-06-08T19:00:42Z;OK;1;NorthSouth
