QueryKey;CityCode;Directions;Cityname;NowTime;Status;Num_routes;directions
3550308 SÃO PAULO 2020-06-10 12:00:04 EW;3550308;EW;SÃO PAULO;2020-06-10T12:00:04Z;OK;1;EastWest
3550308 SÃO PAULO 2020-06-10 12:00:06 NS;3550308;NS;SÃO PAULO;2020-06-10T12:00:06Z;OK;1;NorthSouth
3304557 RIO DE JANEIRO 2020-06-10 12:00:08 EW;3304557;EW;RIO DE JANEIRO;2020-06-10T12:00:08Z;OK;1;EastWest
3304557 RIO DE JANEIRO 2020-06-10 12:00:12 NS;3304557;NS;RIO DE JANEIRO;2020-06-10T12:00:12Z;OK;1;NorthSouth
5300108 BRASÍLIA 2020-06-10 12:00:13 EW;5300108;EW;BRASÍLIA;2020-06-10T12:00:13Z;OK;1;EastWest
5300108 BRASÍLIA 2020-06-10 12:00:16 NS;5300108;NS;BRASÍLIA;2020-06-10T12:00:16Z;OK;1;NorthSouth
2927408 SALVADOR 2020-06-10 12:00:17 EW;2927408;EW;SALVADOR;2020-06-10T12:00:17Z;OK;1;EastWest
2927408 SALVADOR 2020-06-10 12:00:20 NS;2927408;NS;SALVADOR;2020-06-10T12:00:20Z;OK;1;NorthSouth
2304400 FORTALEZA 2020-06-10 12:00:23 EW;2304400;EW;FORTALEZA;2020-06-10T12:00:23Z;OK;1;EastWest
2304400 FORTALEZA 2020-06-10 12:00:24 NS;2304400;NS;FORTALEZA;2020-06-10T12:00:24Z;OK;1;NorthSouth
3106200 BELO HORIZONTE 2020-06-10 12:00:26 EW;3106200;EW;BELO HORIZONTE;2020-06-10T12:00:26Z;OK;1;EastWest
3106200 BELO HORIZONTE 2020-06-10 12:00:28 NS;3106200;NS;BELO HORIZONTE;2020-06-10T12:00:28Z;OK;1;NorthSouth
1302603 MANAUS 2020-06-10 12:00:29 EW;1302603;EW;MANAUS;2020-06-10T12:00:29Z;OK;1;EastWest
1302603 MANAUS 2020-06-10 12:00:31 NS;1302603;NS;MANAUS;2020-06-10T12:00:31Z;OK;1;NorthSouth
4106902 CURITIBA 2020-06-10 12:00:34 EW;4106902;EW;CURITIBA;2020-06-10T12:00:34Z;OK;1;EastWest
4106902 CURITIBA 2020-06-10 12:00:37 NS;4106902;NS;CURITIBA;2020-06-10T12:00:37Z;OK;1;NorthSouth
2611606 RECIFE 2020-06-10 12:00:41 EW;2611606;EW;RECIFE;2020-06-10T12:00:41Z;OK;1;EastWest
2611606 RECIFE 2020-06-10 12:00:43 NS;2611606;NS;RECIFE;2020-06-10T12:00:43Z;OK;1;NorthSouth
5208707 GOIÂNIA 2020-06-10 12:00:44 EW;5208707;EW;GOIÂNIA;2020-06-10T12:00:44Z;OK;1;EastWest
5208707 GOIÂNIA 2020-06-10 12:00:48 NS;5208707;NS;GOIÂNIA;2020-06-10T12:00:48Z;OK;1;NorthSouth
1501402 BELÉM 2020-06-10 12:00:51 EW;1501402;EW;BELÉM;2020-06-10T12:00:51Z;OK;1;EastWest
1501402 BELÉM 2020-06-10 12:00:53 NS;1501402;NS;BELÉM;2020-06-10T12:00:53Z;OK;1;NorthSouth
4314902 PORTO ALEGRE 2020-06-10 12:00:56 EW;4314902;EW;PORTO ALEGRE;2020-06-10T12:00:56Z;OK;1;EastWest
4314902 PORTO ALEGRE 2020-06-10 12:00:58 NS;4314902;NS;PORTO ALEGRE;2020-06-10T12:00:58Z;OK;1;NorthSouth
3518800 GUARULHOS 2020-06-10 12:01:00 EW;3518800;EW;GUARULHOS;2020-06-10T12:01:00Z;OK;1;EastWest
3518800 GUARULHOS 2020-06-10 12:01:04 NS;3518800;NS;GUARULHOS;2020-06-10T12:01:04Z;OK;1;NorthSouth
3509502 CAMPINAS 2020-06-10 12:01:05 EW;3509502;EW;CAMPINAS;2020-06-10T12:01:05Z;OK;1;EastWest
3509502 CAMPINAS 2020-06-10 12:01:09 NS;3509502;NS;CAMPINAS;2020-06-10T12:01:09Z;OK;1;NorthSouth
2111300 SÃO LUÍS 2020-06-10 12:01:10 EW;2111300;EW;SÃO LUÍS;2020-06-10T12:01:10Z;OK;1;EastWest
2111300 SÃO LUÍS 2020-06-10 12:01:12 NS;2111300;NS;SÃO LUÍS;2020-06-10T12:01:12Z;OK;1;NorthSouth
3304904 SÃO GONÇALO 2020-06-10 12:01:15 EW;3304904;EW;SÃO GONÇALO;2020-06-10T12:01:15Z;OK;1;EastWest
3304904 SÃO GONÇALO 2020-06-10 12:01:17 NS;3304904;NS;SÃO GONÇALO;2020-06-10T12:01:17Z;OK;1;NorthSouth
2704302 MACEIÓ 2020-06-10 12:01:18 EW;2704302;EW;MACEIÓ;2020-06-10T12:01:18Z;OK;1;EastWest
2704302 MACEIÓ 2020-06-10 12:01:19 NS;2704302;NS;MACEIÓ;2020-06-10T12:01:19Z;OK;1;NorthSouth
3301702 DUQUE DE CAXIAS 2020-06-10 12:01:20 EW;3301702;EW;DUQUE DE CAXIAS;2020-06-10T12:01:20Z;OK;1;EastWest
3301702 DUQUE DE CAXIAS 2020-06-10 12:01:22 NS;3301702;NS;DUQUE DE CAXIAS;2020-06-10T12:01:22Z;OK;1;NorthSouth
5002704 CAMPO GRANDE 2020-06-10 12:01:23 EW;5002704;EW;CAMPO GRANDE;2020-06-10T12:01:23Z;OK;1;EastWest
5002704 CAMPO GRANDE 2020-06-10 12:01:27 NS;5002704;NS;CAMPO GRANDE;2020-06-10T12:01:27Z;OK;1;NorthSouth
2408102 NATAL 2020-06-10 12:01:28 EW;2408102;EW;NATAL;2020-06-10T12:01:28Z;OK;1;EastWest
