QueryKey;CityCode;Directions;Cityname;NowTime;Status;Num_routes;directions
3550308 SÃO PAULO 2020-06-11 19:00:04 EW;3550308;EW;SÃO PAULO;2020-06-11T19:00:04Z;OK;1;EastWest
3550308 SÃO PAULO 2020-06-11 19:00:08 NS;3550308;NS;SÃO PAULO;2020-06-11T19:00:08Z;OK;1;NorthSouth
3304557 RIO DE JANEIRO 2020-06-11 19:00:12 EW;3304557;EW;RIO DE JANEIRO;2020-06-11T19:00:12Z;OK;1;EastWest
3304557 RIO DE JANEIRO 2020-06-11 19:00:14 NS;3304557;NS;RIO DE JANEIRO;2020-06-11T19:00:14Z;OK;1;NorthSouth
5300108 BRASÍLIA 2020-06-11 19:00:18 EW;5300108;EW;BRASÍLIA;2020-06-11T19:00:18Z;OK;1;EastWest
5300108 BRASÍLIA 2020-06-11 19:00:20 NS;5300108;NS;BRASÍLIA;2020-06-11T19:00:20Z;OK;1;NorthSouth
2927408 SALVADOR 2020-06-11 19:00:23 EW;2927408;EW;SALVADOR;2020-06-11T19:00:23Z;OK;1;EastWest
2927408 SALVADOR 2020-06-11 19:00:24 NS;2927408;NS;SALVADOR;2020-06-11T19:00:24Z;OK;1;NorthSouth
2304400 FORTALEZA 2020-06-11 19:00:25 EW;2304400;EW;FORTALEZA;2020-06-11T19:00:25Z;OK;1;EastWest
2304400 FORTALEZA 2020-06-11 19:00:28 NS;2304400;NS;FORTALEZA;2020-06-11T19:00:28Z;OK;1;NorthSouth
3106200 BELO HORIZONTE 2020-06-11 19:00:30 EW;3106200;EW;BELO HORIZONTE;2020-06-11T19:00:30Z;OK;1;EastWest
3106200 BELO HORIZONTE 2020-06-11 19:00:32 NS;3106200;NS;BELO HORIZONTE;2020-06-11T19:00:32Z;OK;1;NorthSouth
1302603 MANAUS 2020-06-11 19:00:36 EW;1302603;EW;MANAUS;2020-06-11T19:00:36Z;OK;1;EastWest
1302603 MANAUS 2020-06-11 19:00:37 NS;1302603;NS;MANAUS;2020-06-11T19:00:37Z;OK;1;NorthSouth
4106902 CURITIBA 2020-06-11 19:00:39 EW;4106902;EW;CURITIBA;2020-06-11T19:00:39Z;OK;1;EastWest
4106902 CURITIBA 2020-06-11 19:00:43 NS;4106902;NS;CURITIBA;2020-06-11T19:00:43Z;OK;1;NorthSouth
2611606 RECIFE 2020-06-11 19:00:45 EW;2611606;EW;RECIFE;2020-06-11T19:00:45Z;OK;1;EastWest
2611606 RECIFE 2020-06-11 19:00:47 NS;2611606;NS;RECIFE;2020-06-11T19:00:47Z;OK;1;NorthSouth
5208707 GOIÂNIA 2020-06-11 19:00:51 EW;5208707;EW;GOIÂNIA;2020-06-11T19:00:51Z;OK;1;EastWest
5208707 GOIÂNIA 2020-06-11 19:00:52 NS;5208707;NS;GOIÂNIA;2020-06-11T19:00:52Z;OK;1;NorthSouth
1501402 BELÉM 2020-06-11 19:00:53 EW;1501402;EW;BELÉM;2020-06-11T19:00:53Z;OK;1;EastWest
1501402 BELÉM 2020-06-11 19:00:56 NS;1501402;NS;BELÉM;2020-06-11T19:00:56Z;OK;1;NorthSouth
4314902 PORTO ALEGRE 2020-06-11 19:00:58 EW;4314902;EW;PORTO ALEGRE;2020-06-11T19:00:58Z;OK;1;EastWest
