QueryKey;CityCode;Directions;Cityname;NowTime;Status;Num_routes;directions
3550308 SÃO PAULO 2020-06-12 08:00:04 EW;3550308;EW;SÃO PAULO;2020-06-12T08:00:04Z;OK;1;EastWest
3550308 SÃO PAULO 2020-06-12 08:00:08 NS;3550308;NS;SÃO PAULO;2020-06-12T08:00:08Z;OK;1;NorthSouth
3304557 RIO DE JANEIRO 2020-06-12 08:00:10 EW;3304557;EW;RIO DE JANEIRO;2020-06-12T08:00:10Z;OK;1;EastWest
3304557 RIO DE JANEIRO 2020-06-12 08:00:13 NS;3304557;NS;RIO DE JANEIRO;2020-06-12T08:00:13Z;OK;1;NorthSouth
5300108 BRASÍLIA 2020-06-12 08:00:15 EW;5300108;EW;BRASÍLIA;2020-06-12T08:00:15Z;OK;1;EastWest
5300108 BRASÍLIA 2020-06-12 08:00:18 NS;5300108;NS;BRASÍLIA;2020-06-12T08:00:18Z;OK;1;NorthSouth
2927408 SALVADOR 2020-06-12 08:00:22 EW;2927408;EW;SALVADOR;2020-06-12T08:00:22Z;OK;1;EastWest
2927408 SALVADOR 2020-06-12 08:00:23 NS;2927408;NS;SALVADOR;2020-06-12T08:00:23Z;OK;1;NorthSouth
2304400 FORTALEZA 2020-06-12 08:00:25 EW;2304400;EW;FORTALEZA;2020-06-12T08:00:25Z;OK;1;EastWest
2304400 FORTALEZA 2020-06-12 08:00:29 NS;2304400;NS;FORTALEZA;2020-06-12T08:00:29Z;OK;1;NorthSouth
3106200 BELO HORIZONTE 2020-06-12 08:00:31 EW;3106200;EW;BELO HORIZONTE;2020-06-12T08:00:31Z;OK;1;EastWest
3106200 BELO HORIZONTE 2020-06-12 08:00:32 NS;3106200;NS;BELO HORIZONTE;2020-06-12T08:00:32Z;OK;1;NorthSouth
1302603 MANAUS 2020-06-12 08:00:36 EW;1302603;EW;MANAUS;2020-06-12T08:00:36Z;OK;1;EastWest
1302603 MANAUS 2020-06-12 08:00:39 NS;1302603;NS;MANAUS;2020-06-12T08:00:39Z;OK;1;NorthSouth
4106902 CURITIBA 2020-06-12 08:00:41 EW;4106902;EW;CURITIBA;2020-06-12T08:00:41Z;OK;1;EastWest
4106902 CURITIBA 2020-06-12 08:00:43 NS;4106902;NS;CURITIBA;2020-06-12T08:00:43Z;OK;1;NorthSouth
2611606 RECIFE 2020-06-12 08:00:46 EW;2611606;EW;RECIFE;2020-06-12T08:00:46Z;OK;1;EastWest
2611606 RECIFE 2020-06-12 08:00:47 NS;2611606;NS;RECIFE;2020-06-12T08:00:47Z;OK;1;NorthSouth
5208707 GOIÂNIA 2020-06-12 08:00:49 EW;5208707;EW;GOIÂNIA;2020-06-12T08:00:49Z;OK;1;EastWest
5208707 GOIÂNIA 2020-06-12 08:00:51 NS;5208707;NS;GOIÂNIA;2020-06-12T08:00:51Z;OK;1;NorthSouth
1501402 BELÉM 2020-06-12 08:00:53 EW;1501402;EW;BELÉM;2020-06-12T08:00:53Z;OK;1;EastWest
1501402 BELÉM 2020-06-12 08:00:56 NS;1501402;NS;BELÉM;2020-06-12T08:00:56Z;OK;1;NorthSouth
4314902 PORTO ALEGRE 2020-06-12 08:00:58 EW;4314902;EW;PORTO ALEGRE;2020-06-12T08:00:58Z;OK;1;EastWest
4314902 PORTO ALEGRE 2020-06-12 08:01:00 NS;4314902;NS;PORTO ALEGRE;2020-06-12T08:01:00Z;OK;1;NorthSouth
3518800 GUARULHOS 2020-06-12 08:01:02 EW;3518800;EW;GUARULHOS;2020-06-12T08:01:02Z;OK;1;EastWest
3518800 GUARULHOS 2020-06-12 08:01:04 NS;3518800;NS;GUARULHOS;2020-06-12T08:01:04Z;OK;1;NorthSouth
3509502 CAMPINAS 2020-06-12 08:01:05 EW;3509502;EW;CAMPINAS;2020-06-12T08:01:05Z;OK;1;EastWest
3509502 CAMPINAS 2020-06-12 08:01:08 NS;3509502;NS;CAMPINAS;2020-06-12T08:01:08Z;OK;1;NorthSouth
2111300 SÃO LUÍS 2020-06-12 08:01:12 EW;2111300;EW;SÃO LUÍS;2020-06-12T08:01:12Z;OK;1;EastWest
2111300 SÃO LUÍS 2020-06-12 08:01:15 NS;2111300;NS;SÃO LUÍS;2020-06-12T08:01:15Z;OK;1;NorthSouth
3304904 SÃO GONÇALO 2020-06-12 08:01:16 EW;3304904;EW;SÃO GONÇALO;2020-06-12T08:01:16Z;OK;1;EastWest
3304904 SÃO GONÇALO 2020-06-12 08:01:19 NS;3304904;NS;SÃO GONÇALO;2020-06-12T08:01:19Z;OK;1;NorthSouth
2704302 MACEIÓ 2020-06-12 08:01:21 EW;2704302;EW;MACEIÓ;2020-06-12T08:01:21Z;OK;1;EastWest
2704302 MACEIÓ 2020-06-12 08:01:24 NS;2704302;NS;MACEIÓ;2020-06-12T08:01:24Z;OK;1;NorthSouth
3301702 DUQUE DE CAXIAS 2020-06-12 08:01:25 EW;3301702;EW;DUQUE DE CAXIAS;2020-06-12T08:01:25Z;OK;1;EastWest
3301702 DUQUE DE CAXIAS 2020-06-12 08:01:27 NS;3301702;NS;DUQUE DE CAXIAS;2020-06-12T08:01:27Z;OK;1;NorthSouth
5002704 CAMPO GRANDE 2020-06-12 08:01:31 EW;5002704;EW;CAMPO GRANDE;2020-06-12T08:01:31Z;OK;1;EastWest
5002704 CAMPO GRANDE 2020-06-12 08:01:32 NS;5002704;NS;CAMPO GRANDE;2020-06-12T08:01:32Z;OK;1;NorthSouth
2408102 NATAL 2020-06-12 08:01:35 EW;2408102;EW;NATAL;2020-06-12T08:01:35Z;OK;1;EastWest
2408102 NATAL 2020-06-12 08:01:38 NS;2408102;NS;NATAL;2020-06-12T08:01:38Z;OK;1;NorthSouth
2211001 TERESINA 2020-06-12 08:01:41 EW;2211001;EW;TERESINA;2020-06-12T08:01:41Z;OK;1;EastWest
2211001 TERESINA 2020-06-12 08:01:43 NS;2211001;NS;TERESINA;2020-06-12T08:01:43Z;OK;1;NorthSouth
3548708 SÃO BERNARDO DO CAMPO 2020-06-12 08:01:44 EW;3548708;EW;SÃO BERNARDO DO CAMPO;2020-06-12T08:01:44Z;OK;1;EastWest
3548708 SÃO BERNARDO DO CAMPO 2020-06-12 08:01:48 NS;3548708;NS;SÃO BERNARDO DO CAMPO;2020-06-12T08:01:48Z;OK;1;NorthSouth
3303500 NOVA IGUAÇU 2020-06-12 08:01:50 EW;3303500;EW;NOVA IGUAÇU;2020-06-12T08:01:50Z;OK;1;EastWest
