QueryKey;geocoder_status;place_id;types
3550308 SÃO PAULO 2020-06-09 09:00:04 EW;OK;ChIJaXfwWEJjzpQRdMsugxKABKE;street_address
3550308 SÃO PAULO 2020-06-09 09:00:04 EW;OK;ChIJVzi__KpZzpQRB7kBIhCtwQU;street_address
3550308 SÃO PAULO 2020-06-09 09:00:04 EW;OK;ChIJT3SeZz5VzpQRqMpX8tDodFg;street_address
3550308 SÃO PAULO 2020-06-09 09:00:07 NS;OK;ChIJzePEY_DzzpQRsFetfHX15Kw;premise
3550308 SÃO PAULO 2020-06-09 09:00:07 NS;OK;ChIJVzi__KpZzpQRB7kBIhCtwQU;street_address
3550308 SÃO PAULO 2020-06-09 09:00:07 NS;OK;ChIJNxIdsZJJzpQRqu4s2-Ty7bI;street_address
3304557 RIO DE JANEIRO 2020-06-09 09:00:11 EW;OK;ChIJZ5ikVtuBmQARY-Fzt6I4BRM;"c(""establishment"", ""finance"", ""point_of_interest"")"
3304557 RIO DE JANEIRO 2020-06-09 09:00:11 EW;OK;ChIJ6_IuhmB_mQARf_JisXsTROQ;street_address
3304557 RIO DE JANEIRO 2020-06-09 09:00:11 EW;OK;ChIJ1Z6AkSn6mwARHK_ohRqGOVs;street_address
3304557 RIO DE JANEIRO 2020-06-09 09:00:14 NS;OK;ChIJN3ib7IpkmQAR_XT5ed6Ozbc;street_address
3304557 RIO DE JANEIRO 2020-06-09 09:00:14 NS;OK;ChIJ6_IuhmB_mQARf_JisXsTROQ;street_address
3304557 RIO DE JANEIRO 2020-06-09 09:00:14 NS;OK;ChIJ7auowgzVmwAR5TH_zK_-nIs;"c(""establishment"", ""food"", ""point_of_interest"", ""restaurant"")"
5300108 BRASÍLIA 2020-06-09 09:00:16 EW;OK;ChIJ10RHSrw8WpMRKiMZRUIxpL4;route
5300108 BRASÍLIA 2020-06-09 09:00:16 EW;OK;ChIJDQ1_RCI7WpMRArYHLYBKAcg;street_address
5300108 BRASÍLIA 2020-06-09 09:00:16 EW;OK;ChIJC6hiPVnJW5MRXsID8Oa4vAE;route
5300108 BRASÍLIA 2020-06-09 09:00:17 NS;OK;ChIJmdJK7oVAWpMR3OKk3BV9YWo;street_address
5300108 BRASÍLIA 2020-06-09 09:00:17 NS;OK;ChIJDQ1_RCI7WpMRArYHLYBKAcg;street_address
5300108 BRASÍLIA 2020-06-09 09:00:17 NS;OK;ChIJ3ch2WwKBWZMRw-sL7EBXVdo;"c(""establishment"", ""food"", ""grocery_or_supermarket"", ""point_of_interest"", ""store"", ""supermarket"")"
2927408 SALVADOR 2020-06-09 09:00:19 EW;OK;ChIJs2n0Kl8WFgcRmoAzHj9Nom0;street_address
2927408 SALVADOR 2020-06-09 09:00:19 EW;OK;ChIJP_x1Be4EFgcRcrS9Ehu4YvQ;street_address
2927408 SALVADOR 2020-06-09 09:00:19 EW;OK;ElZSLiBEZXMuIENhc3RlbG8gQnJhbmNvIGRlIEJhaXhvLCAxMjkgLSBEb2lzIGRlIEp1bGhvLCBTYWx2YWRvciAtIEJBLCA0MDA2MC0wNzUsIEJyYXppbCIbEhkKFAoSCdsYNfOMBBYHEe85lEPhrxFhEIEB;street_address
2927408 SALVADOR 2020-06-09 09:00:22 NS;OK;ChIJPQRjJXgSFgcR3NKRqjKMpro;street_address
2927408 SALVADOR 2020-06-09 09:00:22 NS;OK;ChIJP_x1Be4EFgcRcrS9Ehu4YvQ;street_address
2927408 SALVADOR 2020-06-09 09:00:22 NS;OK;ChIJVXBkbHgDFgcRkR7qvO8t7b0;street_address
2304400 FORTALEZA 2020-06-09 09:00:25 EW;OK;ChIJhaRhAkhGxwcRF2uIDMwTD5s;street_address
2304400 FORTALEZA 2020-06-09 09:00:25 EW;OK;ChIJ87-VaklIxwcR3DEC0glpY-Y;premise
2304400 FORTALEZA 2020-06-09 09:00:25 EW;OK;ChIJPdfcUwpKxwcR1cPjSBFq0OU;street_address
2304400 FORTALEZA 2020-06-09 09:00:28 NS;OK;ChIJR47P5KxJxwcRu8_uQhWjJsI;"c(""clothing_store"", ""establishment"", ""point_of_interest"", ""store"")"
2304400 FORTALEZA 2020-06-09 09:00:28 NS;OK;ChIJ87-VaklIxwcR3DEC0glpY-Y;premise
2304400 FORTALEZA 2020-06-09 09:00:28 NS;OK;ChIJLy4E6BFSxwcR6H-rhoW0MWI;street_address
3106200 BELO HORIZONTE 2020-06-09 09:00:29 EW;OK;ChIJT3zLi8ebpgARvteKVL5OQe4;street_address
3106200 BELO HORIZONTE 2020-06-09 09:00:29 EW;OK;EklBdi4gQXVndXN0byBkZSBMaW1hLCA3NDQgLSBDZW50cm8sIEJlbG8gSG9yaXpvbnRlIC0gTUcsIDMwMTkwLTAwMSwgQnJhemlsIhsSGQoUChIJGQAaHeKZpgAR4ALaIXIU4h8Q6AU;street_address
3106200 BELO HORIZONTE 2020-06-09 09:00:29 EW;OK;ChIJUbpxRCuUpgARaLp1qBzYFUo;street_address
3106200 BELO HORIZONTE 2020-06-09 09:00:32 NS;OK;ChIJaWddxoSPpgAR3WkoGqfuSA4;"c(""establishment"", ""food"", ""grocery_or_supermarket"", ""point_of_interest"", ""store"", ""supermarket"")"
